PathwayName,Event,RelationType,InputReaction
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8953339
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-74258
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2509831
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2509827
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2509838
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-109380
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73591
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73589
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-109480
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73608
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-109449
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73620
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73618
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161187
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6788295
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73596
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-73647
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-504054
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6786257
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6797627
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5691507
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-70599
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-174401
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5603114
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6808496
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-200740
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1614583
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1614631
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1614614
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1655453
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1237129
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-70569
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71287
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408551
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408543
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408532
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408530
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5333609
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408537
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408539
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8959510
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2408555
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5333615
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71260
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-70906
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-70903
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71189
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71217
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-197271
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71239
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5696365
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71181
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-350604
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-977324
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-3781011
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-3781018
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6813749
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6799545
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163750
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-70262
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8955794
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-917979
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-141186
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2404133
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-965067
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-3204311
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-965079
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-947535
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-947531
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-947541
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-3095901
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5223313
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9640307
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9640321
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9640316
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-196950
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-196955
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9018862
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9018877
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6786190
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8937442
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5694077
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5692283
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-141202
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-141200
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6784959
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71691
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-266072
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161949
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5689000
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5695964
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-176606
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1247910
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1247935
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-173597
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8952137
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5433074
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5423694
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5423656
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9638046
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-193362
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5679041
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-189406
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9661417
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1475026
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2023973
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2023971
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855198
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855165
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855166
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855219
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855210
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855202
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855232
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855222
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855154
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855180
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855208
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855174
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1855211
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809565
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809561
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-75899
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163489
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8848355
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163402
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163551
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163595
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163432
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-163568
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8848339
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8848338
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-428231
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5696080
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-428701
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-428696
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-428262
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-429730
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-428205
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-428664
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5692261
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6808464
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1861788
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1861789
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1605723
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1605768
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1606273
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1606583
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1640164
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5655955
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161962
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161868
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161961
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5693742
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5694583
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5694485
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6786650
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8874435
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1482543
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1482900
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1482920
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1482907
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809778
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809777
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6814132
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6814254
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6814766
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6814778
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6813740
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8847912
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809325
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809320
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809975
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809944
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1676065
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-1676105
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8849969
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6809720
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026008
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026000
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9025998
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020252
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020270
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9024890
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020257
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026771
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026757
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026907
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026912
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026927
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026916
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9024973
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026544
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020253
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020258
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161195
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161506
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161538
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71732
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-71299
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-70377
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9012036
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-389540
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-200644
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-194023
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5693390
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-6810594
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-8862137
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-5692232
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161776
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-2161567
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9025995
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9025999
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026007
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020256
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020278
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9024881
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020262
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9024983
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9026917
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020277
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9020255
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027625
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027531
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027562
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027631
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027598
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027600
Metabolism,R-HSA-2161890,Shared entity relation,R-HSA-9027632
Metabolism,R-HSA-2161890,Shared entity relation,null
Metabolism,R-HSA-2161961,Shared entity relation,null
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1675994
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676177
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-199456
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-111883
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676164
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1675836
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1675949
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1675988
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676149
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676203
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1483182
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482862
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482816
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482825
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482932
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676124
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482656
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1483107
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482545
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482892
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482811
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482777
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1483096
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1483203
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1483159
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-71296
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-70479
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-6799604
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-70494
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482679
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482827
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482856
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482868
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482887
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482828
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482884
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482897
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482771
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482776
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1483116
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482612
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482629
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482685
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482696
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482604
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1482571
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676114
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676005
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676174
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676141
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676162
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1675824
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676204
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1675795
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1676020
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-399998
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-73812
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-73815
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-5690043
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855221
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855177
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855214
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855205
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855213
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855218
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855171
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1855159
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-5693373
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-1474146
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-174391
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-73577
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-73792
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-73794
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-6788912
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-74247
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-74241
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-109387
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-74248
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-76590
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2395872
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2395849
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2395965
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2393939
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2395879
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2395818
Metabolism,R-HSA-2161899,Shared entity relation,R-HSA-2395873
